Time Stamp	Motor Power 1	Motor Command 1	Battery Amps 1
11/21/2018 3:21:28 PM	0	0	0
11/21/2018 3:21:28 PM	0	0	0
11/21/2018 3:21:28 PM	0	0	0
11/21/2018 3:21:28 PM	0	0	0
11/21/2018 3:21:28 PM	0	0	0
11/21/2018 3:21:28 PM	0	0	0
11/21/2018 3:21:28 PM	0	0	0
11/21/2018 3:21:28 PM	0	0	0
11/21/2018 3:21:29 PM	0	0	0
11/21/2018 3:21:29 PM	0	0	0
11/21/2018 3:21:29 PM	0	0	0
11/21/2018 3:21:29 PM	0	0	0
11/21/2018 3:21:29 PM	0	0	0
11/21/2018 3:21:29 PM	0	0	0
11/21/2018 3:21:29 PM	0	0	0
11/21/2018 3:21:29 PM	0	0	0
11/21/2018 3:21:29 PM	0	0	0
11/21/2018 3:21:29 PM	0	0	0
11/21/2018 3:21:30 PM	176	1000	0
11/21/2018 3:21:30 PM	376	1000	0.1
11/21/2018 3:21:30 PM	576	1000	0.2
11/21/2018 3:21:30 PM	776	1000	0.2
11/21/2018 3:21:30 PM	976	1000	0.2
11/21/2018 3:21:30 PM	1000	1000	0.1
11/21/2018 3:21:30 PM	1000	1000	0.1
11/21/2018 3:21:30 PM	1000	1000	0.1
11/21/2018 3:21:30 PM	1000	1000	0.1
11/21/2018 3:21:30 PM	1000	1000	0.1
11/21/2018 3:21:31 PM	1000	1000	0.1
11/21/2018 3:21:31 PM	1000	1000	0.1
11/21/2018 3:21:31 PM	1000	1000	0.1
11/21/2018 3:21:31 PM	1000	1000	0.1
11/21/2018 3:21:31 PM	1000	1000	0.1
11/21/2018 3:21:31 PM	1000	1000	0.1
11/21/2018 3:21:31 PM	1000	1000	0.1
11/21/2018 3:21:31 PM	1000	1000	0.1
11/21/2018 3:21:31 PM	1000	1000	0.1
11/21/2018 3:21:31 PM	1000	1000	0.1
11/21/2018 3:21:32 PM	1000	1000	0.1
11/21/2018 3:21:32 PM	1000	1000	0.1
